Metric,Value
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.550208
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,48.295502
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,20005
design__max_fanout_violation__count__corner:max_tt_025C_1v80,2000
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-3.416812041123994
clock__skew__worst_setup__corner:max_tt_025C_1v80,1.2450021366242714
timing__hold__ws__corner:max_tt_025C_1v80,0.24215563573093032
timing__setup__ws__corner:max_tt_025C_1v80,36.808630074676934
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.881254
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,37.986595
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,21746
design__max_fanout_violation__count__corner:max_ss_100C_1v60,2000
design__max_cap_violation__count__corner:max_ss_100C_1v60,4728
clock__skew__worst_hold__corner:max_ss_100C_1v60,-4.426714231582982
clock__skew__worst_setup__corner:max_ss_100C_1v60,-2.1014868218188583
timing__hold__ws__corner:max_ss_100C_1v60,0.9325660507778278
timing__setup__ws__corner:max_ss_100C_1v60,25.930131664682882
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,1.826052
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,25.930132
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,3573
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,2000
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
